date,open,high,low,close,volume
2024-08-24,2765.481445,2820.020508,2737.776611,2769.389648,11765811307
2024-08-25,2769.098145,2793.012939,2736.088867,2749.157715,9375535539
2024-08-26,2749.247559,2763.004150,2668.886719,2681.340576,12282035835
2024-08-27,2681.622803,2700.152832,2401.175049,2458.726562,18028996056
2024-08-28,2458.904785,2553.820068,2422.293701,2528.415527,20359545410
2024-08-29,2528.362305,2595.977051,2507.502441,2528.792725,13946434277
2024-08-30,2528.732178,2539.915283,2432.834473,2525.822021,15526218255
2024-08-31,2525.859131,2532.389893,2493.705566,2513.393799,6646876013
2024-09-01,2513.424316,2515.467285,2401.889160,2427.902344,11800443265
2024-09-02,2427.973389,2563.085938,2426.095947,2538.187256,12520444224
2024-09-03,2538.160645,2552.802734,2419.875244,2420.603760,11406800197
2024-09-04,2420.192383,2488.916504,2313.265137,2448.977051,16709600747
2024-09-05,2448.986816,2465.385254,2348.863281,2367.737549,13632325040
2024-09-06,2367.700928,2406.511963,2150.863281,2223.876465,25825618367
2024-09-07,2223.929199,2310.194824,2222.100830,2274.107178,11124608320
2024-09-08,2274.437744,2332.359375,2243.911377,2297.292969,10718443487
2024-09-09,2297.896240,2379.786621,2274.115479,2358.482178,15887712451
2024-09-10,2358.497803,2398.503906,2323.071777,2389.581055,12795818970
2024-09-11,2389.603760,2389.718262,2279.053711,2339.841553,15355180967
2024-09-12,2339.840820,2390.186768,2316.157715,2361.781738,12162634681
2024-09-13,2361.740967,2462.802979,2338.144043,2441.607178,13759640866
2024-09-14,2441.580811,2442.632080,2386.979736,2418.595703,8170291680
2024-09-15,2418.266113,2430.383301,2286.628174,2320.897217,10155470375
2024-09-16,2320.894531,2334.789795,2253.715088,2295.283691,16819033263
2024-09-17,2295.284424,2392.149170,2263.792969,2341.707764,15356783863
2024-09-18,2341.732910,2369.729004,2278.664551,2369.729004,18159056422
2024-09-19,2369.374756,2492.204590,2369.374756,2464.752197,18437147349
2024-09-20,2464.782227,2571.992676,2439.377930,2561.072021,19112788620
2024-09-21,2560.879639,2621.622559,2530.837891,2615.857178,10797825021
2024-09-22,2615.848145,2632.039307,2528.522217,2582.862549,13180663011
2024-09-23,2582.774902,2701.677734,2541.910400,2648.546387,19912841456
2024-09-24,2648.482178,2671.275879,2593.152100,2654.354980,16658812503
2024-09-25,2654.361572,2672.461914,2557.724365,2579.388672,14119729962
2024-09-26,2579.217529,2665.992676,2559.954346,2632.199951,17336033595
2024-09-27,2632.241943,2728.067627,2616.950928,2695.900635,17023020294
2024-09-28,2695.815918,2704.928711,2652.250488,2677.539062,10252590559
2024-09-29,2677.628662,2683.445801,2635.584961,2659.346924,11126215671
2024-09-30,2659.292725,2662.489014,2576.976074,2603.062744,17826446789
2024-10-01,2603.264160,2657.615479,2415.078613,2448.921143,25482371785
2024-10-02,2448.877197,2498.121338,2354.539307,2365.231689,20148256472
2024-10-03,2365.213623,2402.862549,2311.027832,2349.791260,18051447791
2024-10-04,2349.732910,2440.242432,2339.870850,2414.793945,14879264082
2024-10-05,2414.847168,2427.517578,2390.844482,2415.631836,8152969183
2024-10-06,2415.531738,2456.630615,2407.099365,2439.957764,8458690205
2024-10-07,2439.944824,2520.406250,2405.134277,2421.796631,17414044416
2024-10-08,2421.980957,2464.127441,2400.510742,2439.840820,14067361080
2024-10-09,2439.840088,2470.913086,2350.946533,2368.283447,14954047093
2024-10-10,2368.273193,2417.288086,2329.784668,2383.857910,15327769940
2024-10-11,2383.940186,2470.395752,2380.504639,2436.513428,13489061564
2024-10-12,2436.515625,2488.237793,2434.202881,2476.523193,9372169184
2024-10-13,2476.520264,2484.129395,2436.969727,2467.677002,9189490605
2024-10-14,2467.647461,2652.881836,2443.552979,2628.899902,21434687898
2024-10-15,2629.017578,2685.166748,2537.940918,2606.021973,22003780898
2024-10-16,2606.019531,2644.854248,2589.606934,2611.102051,17012396419
2024-10-17,2611.192139,2646.874023,2577.305908,2604.273438,15150712321
2024-10-18,2604.814453,2674.371826,2595.958984,2641.552246,17043738652
2024-10-19,2641.488281,2661.872803,2631.656982,2648.656982,8557834553
2024-10-20,2648.665771,2756.436768,2635.945801,2746.364014,14559296242
2024-10-21,2746.305664,2765.549561,2655.294434,2665.712158,17328615363
2024-10-22,2665.656738,2669.790039,2605.618652,2620.197510,15541911074
2024-10-23,2620.088623,2624.450439,2457.169922,2509.098877,17876984551
2024-10-24,2523.606934,2559.151367,2506.722900,2534.498535,16128627601
2024-10-25,2534.454834,2563.734131,2381.450684,2435.934082,22560233078
2024-10-26,2436.050049,2503.230469,2427.461426,2479.603271,13597102184
2024-10-27,2479.937012,2523.171387,2462.271973,2505.940674,9801434566
2024-10-28,2505.590576,2587.430176,2470.268311,2565.348145,18971841402
2024-10-29,2565.417969,2680.054443,2560.153809,2637.957520,22185845095
2024-10-30,2637.640137,2720.271484,2600.609619,2657.372559,22382690746
2024-10-31,2657.213135,2667.559570,2501.572266,2515.799316,19760409505
2024-11-01,2515.870361,2583.777100,2467.819336,2511.885498,20215438328
2024-11-02,2512.208252,2522.360596,2471.955566,2491.068604,9639457439
2024-11-03,2491.094482,2495.436523,2411.398438,2456.425293,15667779706
2024-11-04,2456.095215,2488.350342,2359.578125,2397.026367,17110200696
2024-11-05,2397.036377,2478.618896,2380.601318,2422.650635,17894057485
2024-11-06,2422.539307,2743.964111,2421.812988,2724.169189,41887574364
2024-11-07,2724.005859,2918.744385,2701.590820,2895.585449,35352318438
2024-11-08,2895.597900,2983.744873,2889.484375,2962.296631,32303261101
2024-11-09,2962.791016,3156.366211,2957.182373,3131.144531,29210133088
2024-11-10,3130.729248,3249.914062,3073.248779,3191.331299,47418730187
2024-11-11,3191.656982,3389.529297,3109.769531,3374.812988,55417771668
2024-11-12,3375.154785,3444.154053,3211.198486,3246.257324,56686078066
2024-11-13,3244.543213,3337.877197,3121.666016,3192.595947,52010205682
2024-11-14,3192.520508,3240.270752,3032.971924,3058.948730,35743352141
2024-11-15,3059.526123,3130.703857,3016.144043,3103.040527,32701369872
2024-11-16,3089.739990,3218.089600,3073.286377,3133.273926,26650658846
2024-11-17,3133.306641,3160.152588,3039.246826,3075.661621,28348163224
2024-11-18,3075.722900,3225.130615,3052.491211,3207.856445,35445557613
2024-11-19,3208.250488,3222.004395,3070.362793,3111.384033,29823634432
2024-11-20,3111.116943,3159.949463,3032.603271,3072.187988,29785491216
2024-11-21,3072.055176,3388.542969,3035.846680,3361.053955,51619069348
2024-11-22,3360.654297,3428.460449,3262.808838,3331.600830,36775716442
2024-11-23,3331.645508,3499.370850,3317.654785,3396.223389,38835184688
2024-11-24,3396.999512,3451.802246,3288.430908,3363.659912,27901454185
