date,open,high,low,close,volume
2024-08-26,22.250000,22.389999,21.299999,21.360001,4780500
2024-08-27,21.059999,21.290001,20.660000,20.740000,4118800
2024-08-28,20.709999,21.070000,19.879999,19.900000,5219500
2024-08-29,20.500000,22.450001,20.469999,21.510000,10428400
2024-08-30,21.820000,23.480000,21.730000,23.420000,15680700
2024-09-03,24.150000,24.690001,22.820000,23.139999,11350500
2024-09-04,22.850000,23.709999,22.110001,22.120001,6700900
2024-09-05,22.000000,22.680000,21.660000,22.389999,5101200
2024-09-06,22.400000,24.480000,21.799999,23.920000,23884000
2024-09-09,23.240000,25.020000,23.160000,24.250000,14064700
2024-09-10,24.770000,24.799999,23.129999,23.450001,19175500
2024-09-11,20.820000,21.090000,19.309999,20.639999,28921500
2024-09-12,20.469999,20.709999,19.990000,20.400000,9539500
2024-09-13,20.490000,20.920000,20.340000,20.650000,8053700
2024-09-16,20.450001,20.520000,19.920000,20.090000,5981200
2024-09-17,20.240000,20.559999,19.920000,20.160000,6307600
2024-09-18,20.049999,20.260000,19.420000,19.650000,10728200
2024-09-19,19.889999,20.030001,19.469999,19.510000,8902600
2024-09-20,19.629999,22.030001,19.480000,21.850000,61919200
2024-09-23,21.540001,22.559999,21.230000,22.309999,13969500
2024-09-24,22.610001,22.719999,21.540001,22.629999,12121400
2024-09-25,22.160000,22.830000,22.070000,22.180000,6139700
2024-09-26,22.400000,22.639999,21.870001,22.290001,5777500
2024-09-27,22.389999,23.100000,21.969999,22.480000,7416500
2024-09-30,22.299999,23.639999,22.170000,22.930000,10161700
2024-10-01,22.950001,23.120001,21.809999,21.969999,7189200
2024-10-02,21.860001,22.299999,21.410000,21.490000,5673100
2024-10-03,21.360001,21.790001,21.110001,21.200001,4665800
2024-10-04,21.480000,21.969999,21.290001,21.400000,5286200
2024-10-07,21.350000,21.530001,20.809999,20.900000,5988000
2024-10-08,20.900000,21.270000,20.530001,20.709999,4840500
2024-10-09,20.500000,20.740000,20.299999,20.500000,3914000
2024-10-10,20.469999,21.049999,20.379999,20.910000,4180800
2024-10-11,20.660000,21.219999,20.660000,20.830000,3931600
2024-10-14,20.750000,21.670000,20.459999,21.330000,6636600
2024-10-15,21.450001,21.680000,20.980000,21.270000,4851900
2024-10-16,21.129999,21.750000,21.030001,21.660000,4264600
2024-10-17,21.500000,21.660000,21.230000,21.410000,3015300
2024-10-18,21.410000,21.610001,20.980000,21.219999,5302200
2024-10-21,21.100000,21.219999,20.660000,20.700001,3956500
2024-10-22,20.620001,20.940001,20.430000,20.930000,3232300
2024-10-23,20.730000,20.980000,20.350000,20.540001,2945000
2024-10-24,20.629999,20.840000,20.480000,20.629999,2682300
2024-10-25,20.650000,21.430000,20.540001,20.570000,5989000
2024-10-28,20.840000,22.770000,20.730000,22.730000,13641200
2024-10-29,22.700001,23.200001,22.090000,22.680000,10078100
2024-10-30,23.400000,24.540001,22.750000,23.280001,12383600
2024-10-31,22.830000,23.030001,22.049999,22.180000,5594500
2024-11-01,22.400000,23.049999,22.080000,22.410000,4744500
2024-11-04,22.200001,22.650000,21.879999,22.330000,4300200
2024-11-05,22.320000,23.200001,22.270000,22.990000,5858400
2024-11-06,23.309999,23.820000,22.900000,23.100000,6648000
2024-11-07,23.070000,23.660000,22.809999,23.450001,5554400
2024-11-08,23.440001,25.389999,23.240000,24.879999,15908600
2024-11-11,25.260000,28.049999,24.629999,27.260000,26633000
2024-11-12,26.059999,27.100000,24.950001,26.840000,18972700
2024-11-13,26.260000,28.219999,26.219999,26.459999,18490300
2024-11-14,27.170000,28.280001,26.719999,27.370001,16502000
2024-11-15,28.080000,28.590000,26.320000,26.590000,16451800
2024-11-18,26.650000,27.160000,25.850000,26.440001,8494900
2024-11-19,25.889999,27.600000,25.709999,27.570000,8698600
2024-11-20,27.260000,29.799999,27.260000,28.450001,22089700
2024-11-21,29.090000,29.170000,27.180000,27.820000,10587200
2024-11-22,27.879999,28.459999,27.420000,27.900000,7975700
2024-11-25,28.049999,29.770000,27.959999,29.670000,13090400
2024-11-26,29.400000,32.119999,28.780001,30.330000,24657300
2024-11-27,30.799999,31.549999,30.510000,30.889999,12895100
2024-11-29,31.010000,31.080000,28.850000,29.049999,10473700
2024-12-02,28.959999,29.370001,26.750000,27.270000,13576600
2024-12-03,26.549999,27.590000,26.490000,27.440001,6009900
2024-12-04,27.070000,27.830000,26.629999,27.030001,6387500
2024-12-05,27.000000,30.870001,26.150000,28.629999,40704900
2024-12-06,29.120001,29.350000,28.110001,29.059999,15161400
2024-12-09,29.000000,29.860001,27.740000,27.930000,11495400
2024-12-10,27.879999,28.389999,26.850000,26.930000,18209400
2024-12-11,27.750000,30.160000,27.510000,28.969999,20485000
2024-12-12,28.900000,29.660000,28.580000,28.750000,8855700
2024-12-13,28.700001,28.860001,27.920000,27.990000,6581600
2024-12-16,27.700001,29.590000,27.270000,29.440001,8700000
2024-12-17,29.639999,31.879999,29.639999,31.260000,19948100
2024-12-18,31.100000,31.700001,28.340000,28.549999,13947300
2024-12-19,29.160000,30.600000,28.820000,29.000000,10338200
2024-12-20,28.540001,30.520000,28.309999,29.820000,19606700
2024-12-23,29.820000,31.110001,29.780001,30.900000,8226500
2024-12-24,31.000000,31.590000,30.580000,31.139999,5523500
2024-12-26,32.619999,34.369999,31.600000,32.990002,20432900
2024-12-27,32.389999,33.049999,30.730000,32.200001,10141700
2024-12-30,31.799999,32.880001,31.610001,32.009998,9593100
2024-12-31,32.060001,32.439999,31.100000,31.340000,7395300
2025-01-02,31.840000,32.049999,30.370001,30.660000,7979700
2025-01-03,30.799999,32.139999,30.570000,31.650000,7461800
2025-01-06,31.700001,33.490002,30.760000,32.820000,12609400
2025-01-07,32.799999,34.400002,31.709999,33.369999,13360700
2025-01-08,32.970001,33.369999,32.410000,32.959999,6320000
2025-01-10,32.500000,32.939999,31.400000,32.310001,7068200
2025-01-13,31.600000,31.799999,30.900000,31.020000,5567000
