date,open,high,low,close,volume
2024-08-26,524.081975,524.479332,511.516361,517.645203,9584000
2024-08-27,515.519355,520.515843,511.873844,515.638550,6282700
2024-08-28,514.218126,517.615365,509.032962,513.334106,9106100
2024-08-29,515.588887,523.684566,512.241363,514.764404,8317400
2024-08-30,517.873574,520.048973,511.764619,517.833862,9157500
2024-09-03,516.175025,521.985993,505.228488,508.347565,12459100
2024-09-04,502.695477,513.145348,500.708813,509.320984,8335200
2024-09-05,508.307863,518.151787,507.741657,513.413574,8640900
2024-09-06,518.400061,521.082070,494.927624,496.934143,14744500
2024-09-09,502.784932,507.920442,498.732121,501.424072,11047800
2024-09-10,504.771596,510.751444,496.695802,501.424072,9899000
2024-09-11,503.629217,509.698460,492.295296,508.417053,10782500
2024-09-12,513.602239,523.197859,511.784425,522.095215,11970500
2024-09-13,516.870336,524.062049,513.661833,521.121765,10321400
2024-09-16,521.539437,531.044748,514.440326,530.229492,9527600
2024-09-17,534.524783,538.999042,527.535028,533.252136,11690800
2024-09-18,533.997710,541.086928,530.845861,534.872681,10323500
2024-09-19,546.853753,558.854714,543.393679,555.901672,15647000
2024-09-20,556.796480,561.270737,553.117634,558.138733,22066800
2024-09-23,566.242245,570.696599,559.192776,561.181335,12830700
2024-09-24,563.438418,564.502304,551.019874,560.107605,12993000
2024-09-25,560.823320,573.579942,560.495191,565.058960,16543400
2024-09-26,572.436555,574.097046,559.133090,564.591736,14400800
2024-09-27,566.838819,567.574636,561.280829,564.114502,9398400
2024-09-30,564.452590,571.392643,561.569155,569.165466,12792300
2024-10-01,574.673552,579.704603,566.838626,573.172180,15259300
2024-10-02,571.571464,572.704957,566.083083,569.533203,6524700
2024-10-03,566.888477,580.022870,565.476556,579.436279,11581000
2024-10-04,580.390710,593.435651,578.103880,592.530884,14169500
2024-10-07,594.797811,599.500794,580.698936,581.434753,12014200
2024-10-08,586.316646,590.164502,582.617895,589.498352,7857400
2024-10-09,590.592031,590.989767,578.282847,587.131958,9529700
2024-10-10,584.208830,586.853587,579.187731,580.490234,7740400
2024-10-11,581.484489,587.827997,579.376622,586.575195,8587100
2024-10-14,590.820792,596.667161,586.585212,587.042542,8252000
2024-10-15,586.783961,587.231399,576.821322,582.916260,9564200
2024-10-16,578.074215,578.750318,570.746379,573.490540,11268400
2024-10-17,579.993113,581.623686,571.909615,573.629700,8701200
2024-10-18,577.775698,580.629275,571.959189,573.172180,7694300
2024-10-21,572.734891,573.937931,565.854433,571.869812,8171900
2024-10-22,571.004794,580.191988,568.847225,578.680664,8544500
2024-10-23,576.652231,581.653486,559.282198,560.465393,14248400
2024-10-24,563.885798,565.625788,558.307904,564.532104,7184700
2024-10-25,570.646806,577.964688,568.449426,569.970703,11337900
2024-10-28,578.670721,580.410711,570.835793,574.852661,10925100
2024-10-29,576.831334,590.273953,572.108506,589.886230,13019100
2024-10-30,597.542091,597.760864,586.008472,588.414612,26864900
2024-10-31,581.653523,586.525517,559.789326,564.333191,26838400
2024-11-01,564.362965,570.388297,559.341866,563.915527,15303200
2024-11-04,560.873075,565.436845,554.698638,557.472656,12064600
2024-11-05,564.054797,570.199438,563.428396,569.155457,9775400
2024-11-06,559.530800,569.722166,551.994145,568.777588,18305400
2024-11-07,573.589968,591.397489,571.919586,588.315247,14653700
2024-11-08,588.156117,589.707190,581.176315,585.968750,9415700
2024-11-11,583.005739,583.642092,573.212109,579.833984,10209100
2024-11-12,585.173300,596.229685,577.060005,581.474609,16287700
2024-11-13,579.277184,582.289880,571.879742,576.682129,10757600
2024-11-14,573.699340,577.437841,569.732174,573.858398,11053700
2024-11-15,567.952305,569.294619,548.345142,550.910400,17712900
2024-11-18,553.853428,556.697114,546.943234,551.228577,14327300
2024-11-19,548.703129,558.218392,547.450327,557.880371,9522400
2024-11-20,559.709823,563.110243,551.029782,562.285034,9797300
2024-11-21,566.262107,566.739341,545.909173,559.868896,11154700
2024-11-22,560.326213,560.604641,551.417508,555.941467,9164000
2024-11-25,558.884467,569.314510,553.207170,561.877258,13599800
2024-11-26,562.762188,574.196402,561.966776,570.259033,10356600
2024-11-27,571.601423,571.690874,560.873107,565.943970,7200200
2024-11-29,565.745033,575.150939,563.657070,571.034607,7130500
2024-12-02,574.196459,591.099212,572.277506,589.438782,12522400
2024-12-03,591.596252,610.686429,587.867704,610.139587,14907200
2024-12-04,609.453665,614.246100,601.638581,610.268982,14697000
2024-12-05,613.550058,616.353934,603.577405,605.446655,8081200
2024-12-06,606.609937,626.187304,605.048971,620.201782,16935500
2024-12-09,620.350951,622.816806,602.702487,610.060181,11426000
2024-12-10,614.027219,622.011312,609.234785,615.777161,10938900
2024-12-11,619.804111,634.748163,617.974670,629.060852,10837200
2024-12-12,627.887479,633.017934,623.622042,627.181519,7474700
2024-12-13,623.632027,627.469992,613.361162,616.801331,8453300
2024-12-16,626.881436,628.045725,615.537543,621.169678,10885600
2024-12-17,623.090190,629.259708,613.507550,616.393311,12897800
2024-12-18,617.945699,624.274404,593.387091,594.252808,17075500
2024-12-19,607.387801,608.512248,592.073482,592.640686,14958100
2024-12-20,587.675261,600.143601,577.147282,582.371460,48989400
2024-12-23,586.700072,598.133610,583.366573,596.899658,10205800
2024-12-24,599.755514,604.999613,596.332492,604.760803,4726100
2024-12-26,602.502036,603.318010,595.994224,600.382507,6081400
2024-12-27,596.461806,598.889808,586.899087,596.859863,8084200
2024-12-30,585.854227,594.003947,582.699836,588.331970,7025900
2024-12-31,589.356949,591.048539,580.978319,582.630188,6019500
2025-01-02,586.819408,601.934697,584.928789,596.292603,12682300
2025-01-03,601.785554,606.502231,593.476587,601.656189,11436800
2025-01-06,608.820700,627.886434,602.641223,627.100342,14560800
2025-01-07,628.593026,628.991022,605.238430,614.850952,12071500
2025-01-08,610.382997,613.408023,599.825137,607.716125,10085800
2025-01-10,607.029651,626.811817,594.402063,612.830933,19256600
2025-01-13,604.114021,605.974819,595.506602,605.338013,10785000
2025-01-14,602.094061,602.511979,585.655293,591.327271,13598000
2025-01-15,607.208790,619.398541,603.517016,614.084778,15524300
2025-01-16,608.492424,613.219062,606.711250,608.293396,8355300
2025-01-17,620.980653,621.896111,600.700886,609.756165,17280600
2025-01-21,614.791297,618.443229,606.014669,613.428040,11674000
2025-01-22,620.234321,630.583194,616.383360,620.433350,12274000
2025-01-23,624.274323,633.468867,618.094906,633.319641,9910200
2025-01-24,633.269938,648.793187,631.080747,644.305359,19065300
2025-01-27,623.528018,660.604765,622.025435,656.634399,28399200
2025-01-28,662.724381,679.222851,656.226468,671.013428,20950100
2025-01-29,671.680058,677.700289,662.395930,673.162720,21377800
2025-01-30,693.392741,707.294001,672.774619,683.621033,29322900
2025-01-31,687.601339,701.830993,682.208014,685.790283,19303900
2025-02-03,672.585546,700.537414,671.928819,694.029602,21415700
2025-02-04,699.044811,704.229208,688.208358,700.726501,13826300
2025-02-05,700.089622,714.607889,695.571974,701.403137,17778200
2025-02-06,702.408225,715.364207,700.039926,708.488159,13080700
2025-02-07,713.274431,721.444072,708.249281,711.005676,16427100
2025-02-10,715.025850,717.652880,707.831429,713.871582,12904300
2025-02-11,709.811595,720.100705,706.547699,716.259705,12998000
2025-02-12,711.781877,723.523828,709.095145,721.812317,12016500
2025-02-13,717.971150,725.414340,714.508226,724.976501,12569100
2025-02-14,722.568455,737.265766,722.050993,733.046631,16901200
2025-02-18,732.380013,733.375095,702.965405,712.846558,21938700
2025-02-19,700.636866,703.522627,691.969745,700.308533,17535500
2025-02-20,693.850487,702.159393,690.228375,691.422485,12587400
2025-02-21,693.153930,700.408053,679.003839,680.187988,15660400
2025-02-24,682.904627,683.889748,659.191816,664.843872,15677000
2025-02-25,662.694363,664.714407,638.702964,654.266052,20579700
2025-02-26,656.405591,679.650682,654.763682,670.386475,14488700
2025-02-27,679.093450,685.262968,654.335815,655.002502,12500000
2025-02-28,654.803511,666.336534,639.439447,664.913574,17534200
2025-03-03,670.366498,677.899272,647.638871,651.828125,10843800
2025-03-04,642.335082,646.554218,620.582614,636.852173,21495200
2025-03-05,637.847327,656.256337,634.523728,653.241211,13770000
2025-03-06,644.812847,647.360253,621.040334,624.841553,13446500
2025-03-07,622.294212,631.667864,597.655980,622.582764,21375700
2025-03-10,605.079268,607.109212,583.983526,595.048828,21999900
2025-03-11,592.123292,611.905519,590.411781,602.730896,17401500
2025-03-12,626.801927,630.215049,606.352951,616.512756,15747000
2025-03-13,617.199272,617.448042,583.625233,587.734924,16480300
2025-03-14,600.368846,606.404403,592.381233,605.149475,12364500
2025-03-17,605.010061,610.627268,595.588192,602.460388,15473900
2025-03-18,597.629886,597.829092,572.342274,580.011230,20297700
2025-03-19,581.923551,589.931103,572.451896,581.704407,20537500
2025-03-20,580.409674,607.739008,577.172781,583.636597,24336500
2025-03-21,581.066944,595.129990,578.606935,593.845215,25015900
2025-03-24,612.489709,620.029185,609.730922,616.354065,15741300
2025-03-25,624.232194,631.323473,618.674682,623.783997,15312500
2025-03-26,622.369741,624.222225,604.163438,608.515808,12609800
2025-03-27,599.572041,611.772635,597.679680,600.149719,10436500
