date,open,high,low,close,volume
2024-08-26,409.894848,410.790700,404.943073,407.059631,13152800
2024-08-27,406.439465,407.916138,403.870069,407.404236,13492900
2024-08-28,408.428100,408.546229,400.975816,404.214661,14882700
2024-08-29,408.487169,415.486585,404.214665,406.695465,17045200
2024-08-30,409.136895,410.997487,405.720856,410.652954,24308300
2024-09-03,411.410944,413.350309,400.700137,403.072662,20313600
2024-09-04,399.597554,404.844652,398.081495,402.541046,15135800
2024-09-05,401.280926,406.675715,399.814108,402.038971,14195500
2024-09-06,402.698592,404.263862,394.567036,395.453064,19609500
2024-09-09,400.906843,402.294919,395.896003,399.410492,15295100
2024-09-10,401.851945,409.855487,401.359720,407.758636,19594300
2024-09-11,409.038400,417.396359,403.210451,416.461151,19266900
2024-09-12,416.727001,420.723860,413.222366,420.359619,17395700
2024-09-13,419.207753,425.114444,418.843511,423.893738,15874600
2024-09-16,423.903628,426.788056,421.560635,424.632111,13834700
2024-09-17,433.383859,434.978661,425.547626,428.382843,18874200
2024-09-18,428.235163,429.249144,423.716548,424.110321,18898000
2024-09-19,434.368275,434.634066,430.105596,431.867767,21706600
2024-09-20,430.420725,432.409301,427.467378,428.501038,55167100
2024-09-23,427.526325,429.672416,423.696836,426.768311,15128900
2024-09-24,426.266244,426.610807,419.473555,422.495819,17015800
2024-09-25,423.145564,426.384409,421.905179,425.390106,13396400
2024-09-26,428.323784,428.530510,422.456479,424.602570,14492000
2024-09-27,424.809310,425.134195,420.822304,421.363739,14896100
2024-09-30,421.550812,423.726466,418.754982,423.608307,16807300
2024-10-01,421.787036,421.816568,412.296937,414.147705,19092900
2024-10-02,416.008293,416.244582,410.229585,410.643066,16582300
2024-10-03,411.135332,413.025457,407.847277,410.062286,13686400
2024-10-04,411.735813,413.222340,408.516676,409.589722,19169700
2024-10-07,409.530673,410.623397,402.639532,403.171143,20919800
2024-10-08,404.509965,409.195950,401.822439,408.260712,19229300
2024-10-09,409.392833,413.842560,407.857095,410.967957,14974300
2024-10-10,408.772639,410.859666,406.724969,409.373138,13848400
2024-10-11,409.668510,410.643104,406.823438,409.845703,14144900
2024-10-14,411.273106,417.445619,411.026994,412.621826,16653100
2024-10-15,415.614533,415.909886,408.802165,412.228027,18900200
2024-10-16,408.713595,409.885062,404.096528,409.648804,15508900
2024-10-17,415.791716,415.929553,409.127009,410.239441,14820000
2024-10-18,410.652917,413.123862,409.786597,411.657043,17145300
2024-10-21,409.648788,412.444619,407.315650,412.267426,14206100
2024-10-22,411.981918,423.883898,411.538934,420.861664,25482200
2024-10-23,424.159577,424.376157,415.959132,417.996948,19654400
2024-10-24,418.715584,419.355500,415.831156,418.124939,13581600
2024-10-25,420.123331,425.793735,419.936284,421.491699,16899100
2024-10-28,424.947125,425.222770,419.670465,419.955963,14882400
2024-10-29,421.344021,426.433634,419.178222,425.232605,17644100
2024-10-30,430.637236,431.680749,425.380283,425.803589,29749100
2024-10-31,408.900625,409.688202,399.981521,400.030762,53971000
2024-11-01,402.649354,409.038416,401.162827,403.988190,24230400
2024-11-04,403.427037,404.037421,399.262839,402.107880,19672300
2024-11-05,402.019276,408.447724,401.733777,405.061218,17626000
2024-11-06,406.006359,413.911481,404.135882,413.645660,26681800
2024-11-07,414.728570,420.211956,413.350347,418.814026,19901800
2024-11-08,418.705730,419.867372,415.220773,415.968964,16891400
2024-11-11,415.949273,418.203669,409.530678,411.509430,24503300
2024-11-12,411.745691,417.839431,410.712032,416.451355,19401200
2024-11-13,415.082981,422.653364,411.706299,418.587616,21502200
2024-11-14,418.390690,421.511405,413.468446,420.251312,30246900
2024-11-15,413.291223,416.224860,407.207337,408.546173,28247600
2024-11-18,408.418229,411.893332,405.691317,409.294403,24727000
2024-11-19,406.685543,411.440447,405.149806,411.292786,18133500
2024-11-20,410.387108,410.800590,404.194918,409.028564,19191700
2024-11-21,413.802873,414.079070,404.717961,407.262909,20780200
2024-11-22,405.783277,411.731384,405.477490,411.336823,24814600
2024-11-25,412.698073,415.361387,409.216014,413.102509,27691100
2024-11-26,413.891606,423.213279,413.161665,422.177521,23458900
2024-11-27,419.336626,421.427860,416.288595,417.245422,18332400
2024-11-29,414.384818,419.109774,412.125909,417.709045,16271900
2024-12-02,415.844745,427.119509,415.588266,425.126953,20207200
2024-12-03,424.002418,426.596705,421.930932,425.343964,18302000
2024-12-04,427.149067,433.698905,426.754506,431.479462,26009400
2024-12-05,431.972674,438.621129,430.246440,436.608826,21697800
2024-12-06,436.293157,440.041568,435.770357,437.545929,18821000
2024-12-09,436.589171,442.241334,434.517684,439.962708,19144400
2024-12-10,438.354806,443.513758,435.602688,437.309174,18469500
2024-12-11,438.019451,444.233910,438.019451,442.892365,19200200
2024-12-12,443.010689,449.964962,443.010689,443.454590,20834800
2024-12-13,442.349833,445.299217,439.528658,441.195709,20177800
2024-12-16,441.195693,446.039015,439.232729,445.457031,23598800
2024-12-17,444.884897,449.106770,443.464451,448.288025,22733500
2024-12-18,445.190670,446.502594,431.084859,431.449860,24444500
2024-12-19,435.622417,437.161229,430.394408,431.094757,22963700
2024-12-20,427.228000,437.713641,422.808862,430.670624,64263700
2024-12-23,430.808714,431.706359,426.951811,429.338959,19152500
2024-12-24,428.747121,433.629908,428.293377,433.363556,7164500
2024-12-26,433.116892,434.951648,430.700184,432.160065,8194200
2024-12-27,428.697808,429.309384,420.559850,424.683075,18117700
2024-12-30,420.273792,421.743547,416.170285,419.060486,13158700
2024-12-31,420.313230,420.934679,414.947107,415.775696,13246500
2025-01-02,419.750981,420.283656,409.216031,412.895355,16896500
2025-01-03,415.361365,418.271313,413.842301,417.600555,16662900
2025-01-06,422.187416,428.421593,419.701651,422.039459,20573600
2025-01-07,423.173845,424.801431,415.085195,416.633881,18139100
2025-01-08,417.709061,421.171402,415.815153,418.794128,15054600
2025-01-10,418.863138,418.942038,409.383635,413.260284,20201100
2025-01-13,409.600701,412.816438,406.690783,411.524231,17604800
2025-01-14,412.135763,414.039544,405.142055,410.024841,16935900
2025-01-15,413.437903,422.335394,412.589567,420.520386,19637800
2025-01-16,422.877915,423.657165,418.626451,418.813843,15300000
2025-01-17,428.194709,428.579427,422.355124,423.203430,26197500
2025-01-21,424.357558,425.048034,419.820024,422.680634,26085700
2025-01-22,431.617553,441.195674,430.078741,440.140228,27803800
2025-01-23,435.997315,440.682806,435.504105,440.643341,18389300
